id,variant,time,age,gender,education,income,ecommerceVisits,att1,pre1Q,pre1,pre1F1Q,pre1F1,pre1F2Q,pre1F2,pre1F3Q,pre1F3,pre2Q,pre2,pre2F1Q,pre2F1,pre2F2Q,pre2F2,pre2F3Q,pre2F3,task1,T1Q1Q,T1Q1,T1Q1F1Q,T1Q1F1,T1Q1F2Q,T1Q1F2,T1Q1F3Q,T1Q1F3,T1Q2Q,T1Q2,T1Q2F1Q,T1Q2F1,T1Q2F2Q,T1Q2F2,T1Q2F3Q,T1Q2F3,T1Q3Q,T1Q3,T1Q3F1Q,T1Q3F1,T1Q3F2Q,T1Q3F2,T1Q3F3Q,T1Q3F3,task2,T2Q1Q,T2Q1,T2Q1F1Q,T2Q1F1,T2Q1F2Q,T2Q1F2,T2Q1F3Q,T2Q1F3,T2Q2Q,T2Q2,T2Q2F1Q,T2Q2F1,T2Q2F2Q,T2Q2F2,T2Q2F3Q,T2Q2F3,T2Q3Q,T2Q3,T2Q3F1Q,T2Q3F1,T2Q3F2Q,T2Q3F2,T2Q3F3Q,T2Q3F3,reasonableQuestions,att2,post1Q,post1,post1F1Q,post1F1,post1F2Q,post1F2,post1F3Q,post1F3
195974462,no-ai,10.24613333,48 - 57,Man,Graduate degree,"£50,000 - £74,999",Often (once a week or more often),Salad,Describe what products you usually purchase online.,"gadgets, clothes, paint, food, presents, financial products, just about everything at some point",,,,,,,Describe the typical steps that you take while looking to purchase something online.,"Research, look at reviews, decide on a short list of specific items then search for best price",,,,,,,success,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,"Fairly easy. I navigated to T Shirts then filtered by colour and picked the cheapest (though it wasn't in my size).
Had to sign up before adding to basket which is unusal as can usualyy check out as a guest on many retail sites.",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,Slow response to clicks made we wonder a couple of times if a button was functional or not.,,,,,,,Can you describe anything that you did not like while trying to complete the task?,nothing,,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,"Simple but nasty shock with extra fees added at the end.
It should have been made clear earlier on what extra fees would be added based upon choices made.",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,None other than extra fees. If it were real I wouldn't have purchased from here because of this.,,,,,,,Can you describe anything that you did not like while trying to complete the task?,Extra fees,,,,,,,7,30,Is there anything else that you would like to share?,nothing,,,,,,
195974426,no-ai,15.66108333,38 - 47,Woman,Undergraduate degree,"£10,000 - £19,999",Sometimes (once a month),Salad,Describe what products you usually purchase online.,"Food items, books, gifts and presents, experiences, holidays and flights, hotels, craft items, art items, prints, stationary, clothing, shoes, second hand items, bags and accessories, car parts, homeware, season decorations, appliances, plants, quirky items, cleaning products, gift wrapping supplies.",,,,,,,Describe the typical steps that you take while looking to purchase something online.,"I usually begin by googling the items I am after, and then comparing prices with the shopping function. I will then select the cheapest prices I can see, and research the website to make sure it is legitimate. I will also usually search for the item on sites like Ebay to see if I can get it for a more reasonable price second hand.  Price is very important to me, as I am an extremely low-income earner but I also look for the item origins as I prefer to buy from UK suppliers or European suppliers in order to cut down on carbon miles. I dislike buying items that have to arrive all the way from China etc. ",,,,,,,success,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,"Works like many other sites, to be fair. The instructions did not explain that I would have to sign up in order to place the tshirt into the basket, but I did so and was happy to see your pre-entered 'John Doe' details there in order to complete the task.",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,Not being told I had to login in order to put the shirt into the basket.,,,,,,,Can you describe anything that you did not like while trying to complete the task?,Drop down menu makers were pretty small. The website itself is very boring.,,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,Easy to click through. Shame about additional postage charges.,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,I did not want to 'sign up to get 10% off next order' and was annoyed that it essentially made me subscribe in order to complete my order.,,,,,,,Can you describe anything that you did not like while trying to complete the task?,The fact that you have to subscribe to get to the payment screen.,,,,,,,6,30,Is there anything else that you would like to share?,No.,,,,,,
195974388,no-ai,5.407,18 - 27,Man,High school diploma,"£20,000 - £29,999",Sporadically (less often),Salad,Describe what products you usually purchase online.,The main type of products I purchase online are clothes.,,,,,,,Describe the typical steps that you take while looking to purchase something online.,I go on different websites until I find something I like.,,,,,,,abandon,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,"It didnt work properly, I found a tshirt but it made me create an account before adding it to my basket but didn't give me the option to create an account.",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,It didnt function properly.,,,,,,,Can you describe anything that you did not like while trying to complete the task?,The format of the website,,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,It went well and worked properly,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,n/a,,,,,,,Can you describe anything that you did not like while trying to complete the task?,n/a,,,,,,,6,30,Is there anything else that you would like to share?,n/a,,,,,,
195974377,no-ai,4.554316667,18 - 27,Man,Undergraduate degree,"£10,000 - £19,999",Sometimes (once a month),Salad,Describe what products you usually purchase online.,"clothes, games etc",,,,,,,Describe the typical steps that you take while looking to purchase something online.,search items online,,,,,,,abandon,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,"terrible, couldnt click and website didnt work properly",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,no add to cart button,,,,,,,Can you describe anything that you did not like while trying to complete the task?,website was slow,,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,"went well, everything loaded quickly",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,none,,,,,,,Can you describe anything that you did not like while trying to complete the task?,everything was good,,,,,,,6,30,Is there anything else that you would like to share?,NA,,,,,,
195974366,no-ai,4.929283333,18 - 27,Woman,Undergraduate degree,"£20,000 - £29,999",Often (once a week or more often),Salad,Describe what products you usually purchase online.,clothes,,,,,,,Describe the typical steps that you take while looking to purchase something online.,find a website I like and browse through to find clothes I like,,,,,,,abandon,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,Could only get to the point where you sign in but then wouldn't let me add to basket,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,couldn't put in the basket,,,,,,,Can you describe anything that you did not like while trying to complete the task?,not particularly user friendly,,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,That bit was easy & straight forward,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,none,,,,,,,Can you describe anything that you did not like while trying to complete the task?,none,,,,,,,7,30,Is there anything else that you would like to share?,no,,,,,,
195974344,no-ai,16.49296667,38 - 47,Man,Technical/community college,"£40,000 - £49,999",Often (once a week or more often),Salad,Describe what products you usually purchase online.,"Electronics, eBooks, Clothes, Household Items",,,,,,,Describe the typical steps that you take while looking to purchase something online.,I usually check prices on various websites and then see if there are any deals or vouchers that I can use in order to bring the price down.,,,,,,,success,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,"I found the cheapest by clicking on 'all T-Shirts' and then scrolling until I found the cheapest that had black as an option. When trying to add to the basket, it told me that I needed to sign up, the box at the bottom that said I had to accept the terms and conditions was not easy to see. Once signed up it was quite easy.",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,The sign-up process should have highlighted the 'accept terms and conditions' box as I initially couldn't understand why it wouldn't let me continue.,,,,,,,Can you describe anything that you did not like while trying to complete the task?,"I don't like having to sign up before adding things to a basket, I like having the option of being able to checkout as a quest. I also couldn't see the shipping costs before signing up and adding to the basket.",,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,"The experience was quite easy, I continued to checkout and then added my delivery details, and it then asked for the card details. I chose not to take the offer of a discount for spending more than $50 and then continued. I chose to take up the offer of 10% in exchange for receiving promotional emails. I then confirmed the card details and submitted the order.",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,No challenges when submitting the order.,,,,,,,Can you describe anything that you did not like while trying to complete the task?,I did not like that it waited until almost the end of the order process to offer me the 10% off if I accepted promotional emails.,,,,,,,7,30,Is there anything else that you would like to share?,Nothing to note.,,,,,,
195974163,no-ai,8.893583333,28 - 37,Woman,Undergraduate degree,"£50,000 - £74,999",Sporadically (less often),Salad,Describe what products you usually purchase online.,"clothes, gifts, household items",,,,,,,Describe the typical steps that you take while looking to purchase something online.,"general research, choose best provider, compare products, buy",,,,,,,abandon,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,"there was no option to place the item into the basket, only the option to buy, and i needed an account to do so. the basket also wasnt a clickable link on the page. ",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,"the website had no basket options, only a buy now option. ",,,,,,,Can you describe anything that you did not like while trying to complete the task?,"the steps were simple enough, but impossible to carry out. ",,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,"fine. i didnt do anything, the website has everything pre programmed. all i had to do was figure out the clickable areas within the page. ",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,there was no add to basket,,,,,,,Can you describe anything that you did not like while trying to complete the task?,how pointless it was,,,,,,,6,30,Is there anything else that you would like to share?,no,,,,,,
195973458,no-ai,12.86991667,28 - 37,Woman,Undergraduate degree,"£20,000 - £29,999",Often (once a week or more often),Salad,Describe what products you usually purchase online.,"Clothing, toys, homewares, groceries",,,,,,,Describe the typical steps that you take while looking to purchase something online.,"I often look for inspiration on instagram and follow links to online stores. Then I visit the website and browse the products, often getting more than I originally planned. Finally, I add my items to my basket and purchase using my debit card. ",,,,,,,success,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,"I clicked on the t shirt tab and then on the filters tab I searched for black. I selected the cheapest one and clicked buy. I was then asked to sign up, so I clicked the sign up tab at the top of the page and completed the process, then went back to the product and added it to basket. ",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,Being unable to add to basket before signing up.,,,,,,,Can you describe anything that you did not like while trying to complete the task?,"For me it would have made more sense to be asked to sign up prior to purchasing, not adding to basket. I feel this might put people off proceeding thus the brand would lose customers. ",,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,This was quite straightforward! I was given the option to buy more for free delivery but there were no issues when I declined this option.,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,No challenges encountered in my opinion.,,,,,,,Can you describe anything that you did not like while trying to complete the task?,Having to sign up prior to adding to basket was a bit of an inconvenience and something I feel that may put other customers off.,,,,,,,7,30,Is there anything else that you would like to share?,No further comments,,,,,,
195972577,no-ai,22.8413,28 - 37,Woman,Graduate degree,"£30,000 - £39,999",Often (once a week or more often),Salad,Describe what products you usually purchase online.,"clothes, second-hand books, products for my pet cat, plant-related products (soil, pots, plant feed etc), props for creative modelling, presents for friends or family",,,,,,,Describe the typical steps that you take while looking to purchase something online.,"try to find products off amazon first (from smaller independent shops), compare prices on different webpages, if it's something non-essential give myself some time to think about whether I really want/am going to use what I am about to purchase",,,,,,,success,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,"I went to the tshirts section, filtered for black t-shirts, then selected the cheapest option by clicking on ""buy"". The webpage then prompted me to create an account first; usually I'd expect a link to that in this pop-up box, which makes signing up slightly easier for new customers. However, I also easily found the ""sign up"" button at the top of the page. Then I checked whether the item was in my shopping cart",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,"See previous text box; the only challenge was that creating an account is usually simplified by including a button or a link in the text box prompting new customers to sign up.

Aside from that, the shirt was only available in one size (probably due to study design)",,,,,,,Can you describe anything that you did not like while trying to complete the task?,"same as before, signing up for a new account could be made even easier by including a button to click in the text box popping up which prompts users to sign up",,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,"I clicked on ""purchase"", which prompts the completion of the personal & shipping details followed by the payment details. Once completed, I then reviewed the information I provided and made sure that the right product is being ordered (which it was) and that there are no hidden fees (which there were!)",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,I could not untick wishing to receive newsletters,,,,,,,Can you describe anything that you did not like while trying to complete the task?,"If this was an actual webpage I'd be unlikely to end up purchasing the product. This is due to the fact that the discount is almost completely off-set by the shipping costs, there is a payment charge (no matter whether I choose card or cash, which makes little sense) and an additional charge that is not even explained.",,,,,,,6,30,Is there anything else that you would like to share?,n/a,,,,,,
195972510,no-ai,15.7205,28 - 37,Man,Graduate degree,"£20,000 - £29,999",Often (once a week or more often),Salad,Describe what products you usually purchase online.,"Electronic items, videogames, household items (not food).",,,,,,,Describe the typical steps that you take while looking to purchase something online.,I normally go to Google and check for the item I need/want and check different models and prices. I sometimes go to Amazon or Ebay straight away and search for the item.,,,,,,,abandon,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,"The screen didn't answer properly. I was unable to scroll using the keyboard. I initially clicked on the tshirt link at the top of the screen, but I couldn't do anything on the new screen. Then I tried to use the search function, the black tshirt appeard on the menu, but I was unable to click on it.",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,Screen not working properly as previously stated.,,,,,,,Can you describe anything that you did not like while trying to complete the task?,"The screen wasn't working properly, unable to complete the task. ",,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,The scrolling system is not ideal for laptop use. Way too many add-ons on the final price. Too many screens to go through to reach the final one (with unexpected changes in the price),,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,"The scrolling system doesn't make sense in a laptop, there is no sidebar to scroll the screen and it doesn't answer to the direction keys in the keyboard. ",,,,,,,Can you describe anything that you did not like while trying to complete the task?,Too many popups. Price increased inbetween screens without a warning. Too many screens to reach the final page.,,,,,,,7,30,Is there anything else that you would like to share?,No,,,,,,
195972420,no-ai,13.687,38 - 47,Woman,Undergraduate degree,"£30,000 - £39,999",Often (once a week or more often),Salad,Describe what products you usually purchase online.,"Everything! From groceries and toiletries and household cleaning products to clothing, furniture and appliances.",,,,,,,Describe the typical steps that you take while looking to purchase something online.,"I first google the item and see who is selling it. Then i see the variations, then I read look at reviews and finally look for who is selling it at the best price.",,,,,,,success,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,Frustrating! that felt far too slow and problematic.,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,"In the beginning but I was just doing it incorrectly , there was a lag",,,,,,,Can you describe anything that you did not like while trying to complete the task?,no,,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,"Very easy and simple, that was breeze.",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,Nothing,,,,,,,Can you describe anything that you did not like while trying to complete the task?,This was totally fine and was a process Ihae done a million times before.,,,,,,,7,30,Is there anything else that you would like to share?,I dont think I did the first part correctly the first time or there was a lag but the second half went very smoothly.,,,,,,
195974091,no-ai,7.6038,18 - 27,Woman,Undergraduate degree,"£30,000 - £39,999",Often (once a week or more often),Salad,Describe what products you usually purchase online.,"Groceries, beauty products ",,,,,,,Describe the typical steps that you take while looking to purchase something online.,"I tend to go to major retailers like Asos or Sports Direct to see a wider range of products. If I like something, I may go into the specific brand's website to see if there are any discounts. I don't usually impulse purchase so I will leave a couple of days between searching and actually making the purchase",,,,,,,success,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,"It was pretty straightforward - just had to click on the main menu of the website to find the T-shirt section, then sorted by price and clicked ""View more"" until I saw a black t-shirt. Seems to have the same web design and structure as other major websites so it was intuitive ",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,"No challenges - just had to click ""View more"" so I could find a black t-shirt, but that's to be expected as I didn't filter by colour.",,,,,,,Can you describe anything that you did not like while trying to complete the task?,The main landing page didn't really look like a landing page - more of a product page as it listed items. It was a bit confusing to me.,,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,Straightforward - just had to add payment details and proceed,,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,"Not really, the marketing emails pop up was annoying but didn't disturb the process",,,,,,,Can you describe anything that you did not like while trying to complete the task?,The marketing email pop-up during the payment process,,,,,,,7,30,Is there anything else that you would like to share?,NA,,,,,,
195967594,no-ai,4.9634,18 - 27,Man,Undergraduate degree,"£20,000 - £29,999",Often (once a week or more often),Salad,Describe what products you usually purchase online.,"Clothes, Computer Parts",,,,,,,Describe the typical steps that you take while looking to purchase something online.,"Open the app, type in what I want, sort lowest to highest and browse",,,,,,,success,Can you describe your experience with placing the cheapest black T-shirt into your shopping cart?,"It was easy, although I feel like you should be able to add the item to your cart before you need to make an account. That part usually comes around the check out phase",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,"None really, just the sign up.",,,,,,,Can you describe anything that you did not like while trying to complete the task?,Sign up should be optional.,,,,,,,success,Can you describe your experience with purchasing the plain black T-shirt?,"Went well, quite easy and standard",,,,,,,Can you describe any challenges that you encountered while trying to complete the task?,"no challenges
",,,,,,,Can you describe anything that you did not like while trying to complete the task?,I wasn't able to untick the promotional offers box.,,,,,,,7,30,Is there anything else that you would like to share?,"Nothing, good luck",,,,,,
