id,pre1Note,pre1F1Note,pre1F2Note,pre1F3Note,pre2Note,pre2F1Note,pre2F2Note,pre2F3Note,T1Q1Note,T1Q1F1Note,T1Q1F2Note,T1Q1F3Note,T1Q2Note,T1Q2F1Note,T1Q2F2Note,T1Q2F3Note,T1Q3Note,T1Q3F1Note,T1Q3F2Note,T1Q3F3Note,T2Q1Note,T2Q1F1Note,T2Q1F2Note,T2Q1F3Note,T2Q2Note,T2Q2F1Note,T2Q2F2Note,T2Q2F3Note,T2Q3Note,T2Q3F1Note,T2Q3F2Note,T2Q3F3Note,post1Note,post1F1Note,post1F2Note,post1F3Note
195974462,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-high,i-unwanted-sign-up,t-act,t-know,t-imp,s-pos",,,,"info-med,ti-unresponsive/unclickable,t-obs,s-neu",,,,"info-none,s-neu",,,,"info-high,i-unexpected-fees,t-imp,t-prop,s-neg",,,,"info-low,repeat-cross,s-neg",,,,"info-none,repeat-cross,s-neu",,,,"info-none,s-neu",,,
195974426,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-high,i-unwanted-sign-up,t-know,t-act,t-obs,s-pos",,,,"info-none,repeat-cross,s-neu",,,,"info-high,i-small-unreadable-elements,i-bad-website-overall,t-obs,s-neg",,,,"info-high,i-unexpected-fees,t-imp,s-neg",,,,"info-high,i-unwanted-marketing-consent,t-imp,s-neg",,,,"info-none,repeat-cross,s-neu",,,,"info-none,s-neu",,,
195974388,"info-high,s-neu",,,,"info-med,s-neu",,,,"info-high,i-unwanted-sign-up,i-missing-sign-up-link-in-popup,t-act,s-neg",,,,"info-none,repeat-cross,s-neu",,,,"info-low,i-bad-website-overall,s-neu",,,,"info-med,t-imp,s-pos",,,,"info-none,s-neu",,,,"info-none,s-neu",,,,"info-none,s-neu",,,
195974377,"info-high,s-neu",,,,"info-med,s-neu",,,,"info-low,ti-unresponsive/unclickable,t-act,t-imp,s-neg",,,,"info-med,i-buy-button-wrong-label,s-neu",,,,"info-low,repeat-cross,s-neu",,,,"info-med,t-imp,s-pos",,,,"info-none,s-neu",,,,"info-none,s-neu",,,,"info-none,s-neu",,,
195974366,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-med,ti-unresponsive/unclickable,t-act,s-neg",,,,"info-none,repeat-cross,s-neu",,,,"info-low,i-bad-website-overall,s-neg",,,,"info-med,t-imp,s-pos",,,,"info-none,s-neu",,,,"info-none,s-neu",,,,"info-none,s-neu",,,
195974344,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-high,i-unwanted-sign-up,i-small-unreadable-elements,t-act,t-imp,t-exp,t-obs,s-neu",,,,"info-low,repeat-cross,t-exp,t-prop,s-neu",,,,"info-high,i-no-shipping-on-product-page,t-prop,t-imp,s-neg",,,,"info-med,t-imp,t-act,t-exp,s-neu",,,,"info-none,s-neu",,,,"info-high,i-unwanted-marketing-consent,s-neg",,,,"info-none,s-neu",,,
195974163,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-high,i-buy-button-wrong-label,i-unwanted-sign-up,ti-unresponsive/unclickable,t-obs,s-neg",,,,"info-none,repeat-cross,s-neu",,,,"info-low,s-neg",,,,"info-med,s-neu",,,,"info-none,s-neg,content-unrelated",,,,"info-low,t-imp,s-neg",,,,"info-none,s-neu",,,
195973458,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-med,t-act,t-exp,t-obs,s-neu",,,,"info-high,i-unwanted-sign-up,s-neg",,,,"info-med,t-prop,s-neu",,,,"info-med,s-neu",,,,"info-none,s-neu",,,,"info-none,repeat-cross,s-neg,content-unrelated",,,,"info-none,s-neu",,,
195972577,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-high,i-missing-sign-up-link-in-popup,t-act,t-prop,t-obs,s-neu",,,,"info-med,repeat-cross,t-obs,s-neg",,,,"info-none,repeat-cross,s-neu",,,,"info-high,i-unexpected-fees,t-act,t-exp,s-neg",,,,"info-high,i-unwanted-marketing-consent,t-act,s-neg",,,,"info-med,repeat-cross,t-imp,s-neg",,,,"info-none,s-neu",,,
195972510,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-med,ti-unresponsive/unclickable,t-act,t-obs,s-neg",,,,"info-none,repeat-cross,s-neg",,,,"info-none,repeat-cross,s-neu",,,,"info-high,ti-scroll-problems,i-unexpected-fees,ti-complicated-scenario,s-neg",,,,"info-low,repeat-cross,s-neg",,,,"info-high,repeat-cross,i-intrusive-popups-overall,s-neg",,,,"info-none,s-neu",,,
195972420,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-med,t-imp,s-neg",,,,"info-none,repeat-cross,s-neu",,,,"info-none,s-neu",,,,"info-med,t-imp,s-pos",,,,"info-none,s-neu",,,,"info-none,t-know,s-pos",,,,"info-none,repeat-cross,s-neu",,,
195974091,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-med,t-act,t-know,t-imp,t-obs,s-pos",,,,"info-low,repeat-cross,t-act,s-pos",,,,"info-high,i-bad-website-overall,t-obs,t-imp,s-neg",,,,"info-med,t-imp,s-pos",,,,"info-high,i-unwanted-marketing-consent,s-neg",,,,"info-none,repeat-cross,s-neg",,,,"info-none,s-neu",,,
195967594,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-high,i-unwanted-sign-up,t-imp,t-prop,s-pos",,,,"info-none,repeat-cross,s-neu",,,,"info-low,repeat-cross,t-prop,s-neu",,,,"info-med,t-imp,s-pos",,,,"info-none,s-neu",,,,"info-high,i-unwanted-marketing-consent,s-neg",,,,"info-none,s-neu",,,
195973524,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-med,t-imp,t-know,s-pos",,,,"info-high,i-unexpected-pre-filled-fields,t-imp,s-neu",,,,"info-low,repeat-cross,s-pos",,,,"info-med,t-imp,s-pos",,,,"info-none,repeat-cross,s-pos",,,,"info-none,s-neu",,,,"info-med,t-imp,s-pos",,,
195973513,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-high,i-unwanted-sign-up,t-know,s-neg",,,,"info-low,repeat-cross,t-obs,t-act,s-neu",,,,"info-none,repeat-cross,s-neu",,,,"info-med,t-imp,s-pos",,,,"info-none,s-neu",,,,"info-none,s-neu",,,,"info-none,s-neu",,,
195973207,"info-high,s-neu",,,,"info-med,s-neu",,,,"info-high,i-unclickable-product-image,i-default-white-tshirt,i-missing-sign-up-link-in-popup,t-imp,t-prop,t-exp,s-pos",,,,"info-none,repeat-cross,s-neu",,,,"info-high,i-small-unreadable-elements,i-bad-website-overall,t-imp,t-obs,s-neg",,,,"info-med,t-obs,t-imp,t-know,s-pos",,,,"info-none,s-neu",,,,"info-high,i-unwanted-marketing-consent,t-obs,s-neg",,,,"info-none,s-neu",,,
195973172,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-high,i-missing-sign-up-link-in-popup,t-prop,t-imp,s-neg",,,,"info-low,repeat-cross,s-neg",,,,"info-none,repeat-cross,s-neu",,,,"info-med,t-imp,s-pos",,,,"info-high,i-small-unreadable-elements,t-obs,s-neg",,,,"info-high,i-small-unreadable-elements,t-obs,t-prop,s-neg",,,,"info-none,s-neu",,,
195973164,"info-high,s-neu",,,,"info-med,s-neu",,,,"info-low,t-act,s-neu",,,,"info-med,i-unwanted-sign-up,t-know,s-neu",,,,"info-none,repeat-cross,s-neu",,,,"info-med,t-imp,s-pos",,,,"info-none,s-neu",,,,"info-none,s-neu",,,,"info-none,s-neu",,,
195973073,"info-high,s-neu",,,,"info-high,s-neu",,,,"info-high,ti-unresponsive/unclickable,i-buy-button-wrong-label,i-missing-sign-up-link-in-popup,t-imp,t-act,t-exp,t-obs,s-neg",,,,"info-high,i-unwanted-sign-up,t-imp,repeat-cross,s-neg",,,,"info-high,i-black-filter-wrong-color,s-neg",,,,"info-high,i-unexpected-fees,i-missing-payment-methods,t-prop,s-neg",,,,"info-none,repeat-cross,s-neg",,,,"info-none,repeat-cross,s-neu",,,,"info-none,s-neu",,,
195973011,"info-high,s-neu",,,,"info-med,s-neu",,,,"info-high,i-missing-sign-up-link-in-popup,t-act,s-neu",,,,"info-none,repeat-cross,s-neu",,,,"info-low,t-prop,s-neu",,,,"info-med,t-imp,s-pos",,,,"info-none,s-neu",,,,"info-none,s-neu",,,,"info-none,s-neu",,,
194639206,"info-high,s-neu","info-high,s-neu","info-med,s-neu","info-low,repeat-followup,s-neu","info-high,s-neu","info-high,s-neu","info-high,s-neu","info-med,s-neu","info-med,ti-unresponsive/unclickable,t-act,s-neg","info-none,repeat-followup,s-neg","info-low,s-neu","info-med,s-neu","info-none,repeat-cross,s-neg","info-none,question-none","info-none,question-none","info-none,question-none","info-low,repeat-cross,s-neg","info-low,repeat-cross,s-neu","info-low,repeat-followup,s-neu","info-none,s-neu","info-med,t-imp,t-act,s-neu","info-none,repeat-followup,s-neu","info-low,content-unrelated,s-neu","info-none,content-unrelated,s-neu","info-none,repeat-cross,s-neu","info-none,repeat-followup,s-neu","info-none,repeat-followup,s-neu","info-none,repeat-followup,s-neu","info-none,repeat-cross,s-neu","info-none,repeat-followup,s-neu","info-none,repeat-followup,s-neu","info-none,repeat-followup,s-neu","info-high,ti-repetetive-ai,s-neg","info-none,question-none","info-none,question-none","info-none,question-none"
156058659,"info-high,s-neu","info-med,s-neu","info-high,s-neu","info-low,s-neu","info-med,s-neu","info-med,s-neu","info-none,s-neu","info-none,repeat-followup,s-neu","info-low,t-imp,s-pos","info-none,s-neu","info-none,repeat-followup,s-neu,content-unrelated","info-none,repeat-followup,s-neu,content-unrelated","info-high,i-unexpected-pre-filled-fields,t-exp,s-neu","info-low,repeat-followup,s-neu","info-none,repeat-followup,s-neu,content-unrelated","info-none,repeat-followup,ti-repetetive-ai,s-neg,content-unrelated","info-low,t-imp,repeat-cross,s-neg","info-none,repeat-followup,s-neg","info-none,question-none","info-none,question-none","info-med,t-imp,s-pos","info-med,s-neu","info-low,content-unrelated,s-neu","info-med,s-pos","info-none,s-neu","info-med,t-imp,s-pos","info-med,s-neu","info-med,t-obs,s-pos","info-none,s-pos","info-none,s-neu","info-med,t-imp,s-neg","info-none,s-neu","info-none,s-neu","info-none,question-none","info-none,question-none","info-none,question-none"
195753860,"info-high,s-neu","info-high,s-neu","info-high,s-neu","info-high,s-neu","info-high,s-neu","info-high,s-neu","info-high,s-neu","info-med,s-neu","info-high,i-unwanted-sign-up,t-imp,t-prop,s-neg","info-med,t-know,s-neu","info-low,t-prop,t-exp,s-neu","info-none,repeat-followup,s-neu","info-none,s-pos","info-none,repeat-cross,s-neg","info-none,repeat-cross,s-neg","info-none,repeat-cross,s-neg","info-none,s-neu","info-med,t-imp,s-neu","info-low,s-neu","info-none,s-neu","info-med,t-act,s-neu","info-low,content-unrelated,s-neg","info-low,content-unrelated,s-neu","info-none,content-unrelated,s-neu","info-high,i-unexpected-fees,s-neg","info-med,t-imp,s-neg","info-high,i-unwanted-marketing-consent,t-prop,s-neg","info-med,t-imp,s-neg","info-none,repeat-cross,s-neg","info-none,repeat-followup,s-neu","info-none,repeat-followup,s-neu","info-none,repeat-followup,s-neu","info-none,s-neu","info-none,question-none","info-none,question-none","info-none,question-none"
195751731,"info-high,s-neu","info-high,s-neu","info-low,s-neu","info-none,repeat-followup,s-neu","info-high,s-neu","info-high,s-neu","info-high,s-neu","info-med,s-neu","info-med,t-act,t-exp,t-imp,s-pos","info-med,t-obs,t-exp,s-neu","info-high,i-unwanted-sign-up,t-act,t-exp,s-neu","info-low,s-neu","info-none,s-pos","info-low,t-know,s-neu","info-low,s-neu","info-low,s-neu","info-low,t-imp,s-neu","info-none,s-neu","info-none,s-neu,content-unrelated","info-none,repeat-followup,s-neu,content-unrelated","info-med,t-act,s-neu","info-none,repeat-followup,s-neu","info-low,repeat-followup,t-imp,s-pos","info-med,t-imp,s-pos","info-none,s-neu","info-low,repeat-followup,t-imp,s-neu","info-med,t-act,s-neu","info-none,repeat-followup,s-neu","info-none,s-neu","info-none,s-neu","info-none,content-unrelated,s-neu","info-none,content-unrelated,s-neu","info-high,ti-repetetive-ai,s-neu","info-med,s-neu","info-none,repeat-followup,s-neu","info-none,s-neu"
195751372,"info-high,s-neu","info-high,s-neu","info-high,s-neu","info-med,s-neu","info-high,s-neu","info-med,s-neu","info-low,repeat-followup,s-neu","info-high,s-neu","info-high,ti-unresponsive/unclickable,t-act,s-neg","info-low,s-neu","info-none,repeat-followup,s-neg","info-low,content-unrelated,s-neu,content-unrelated","info-none,repeat-cross,s-neu","info-none,repeat-followup,s-neg","info-none,question-none","info-none,question-none","info-low,t-imp,s-neu","info-med,t-imp,s-neu","info-low,t-obs,s-neu","info-low,t-know,s-neu","info-med,t-act,s-neu","info-med,t-exp,s-neu","info-none,repeat-followup,s-neu","info-none,question-skip","info-none,repeat-cross,s-neu","info-med,ti-unresponsive/unclickable,t-act,s-neg","info-none,question-skip","info-none,question-none","info-high,i-unwanted-sign-up,s-neg","info-low,repeat-followup,t-exp,s-neg","info-none,repeat-followup,s-neu","info-med,t-prop,s-neu","info-high,ti-repetetive-ai,s-neg","info-med,s-neu","info-none,repeat-followup,s-neu","info-none,question-skip"
195750993,"info-high,s-neu","info-high,s-neu","info-low,s-neu","info-med,s-neu","info-high,s-neu","info-med,s-neu","info-high,s-neu","info-high,s-neu","info-high,i-unwanted-sign-up,t-act,t-exp,s-neu","info-med,t-act,s-neg","info-none,repeat-followup,s-neg","info-high,i-missing-sign-up-link-in-popup,t-prop,s-neu","info-low,s-neg","info-none,question-skip","info-none,question-none","info-none,question-none","info-none,question-skip","info-none,question-none","info-none,question-none","info-none,question-none","info-med,t-imp,s-pos","info-med,t-imp,s-pos","info-none,question-skip","info-none,question-none","info-none,s-neu","info-none,question-skip","info-none,question-none","info-none,question-none","info-none,t-imp,s-pos","info-none,question-skip","info-none,question-none","info-none,question-none","info-none,question-none","info-none,question-none","info-none,question-none","info-none,question-none"
195750062,"info-high,s-neu","info-med,s-neu","info-low,repeat-followup,s-neu","info-high,s-neu","info-high,s-neu","info-high,s-neu","info-low,repeat-followup,s-neu","info-low,s-neu","info-med,ti-unresponsive/unclickable,i-unwanted-sign-up,t-act,s-neg","info-none,repeat-followup,s-neg","info-none,question-none","info-none,question-none","info-low,t-obs,t-imp,s-neg","info-none,repeat-followup,s-neg","info-none,question-none","info-none,question-none","info-low,repeat-cross,t-imp,s-neg","info-none,repeat-followup,s-neg","info-none,ti-repetetive-ai,s-neu","info-none,repeat-followup,s-neg","info-med,t-imp,s-neg","info-med,ti-unresponsive/unclickable,s-neg","info-none,repeat-followup,s-neg","info-none,question-none","info-none,repeat-cross,s-neg","info-none,question-none","info-none,question-none","info-none,question-none","info-low,repeat-cross,t-imp,s-neu","info-none,question-none","info-none,question-none","info-none,question-none","info-none,question-none","info-none,question-none","info-none,question-none","info-none,question-none"
195749340,"info-high,s-neu","info-high,s-neu","info-high,s-neu","info-low,s-neu","info-high,s-neu","info-med,s-neu","info-high,s-neu","info-none,repeat-followup,s-neu","info-low,ti-unresponsive/unclickable,t-imp,s-neg","info-low,repeat-followup,t-act,s-neg","info-low,s-neu","info-none,repeat-followup,s-neu","info-none,repeat-cross,s-neu","info-none,repeat-followup,s-neg","info-low,t-know,s-neu","info-none,repeat-followup,s-neu","info-low,repeat-cross,s-neg","info-med,i-unclickable-product-image,s-neu","info-none,repeat-followup,s-neu","info-none,repeat-followup,s-neg","info-med,ti-unresponsive/unclickable,ti-scroll-problems,s-neg","info-none,repeat-followup,s-neu","info-low,s-neu","info-none,s-neu","info-none,repeat-cross,s-neu","info-none,repeat-followup,s-neu","info-none,s-neu","info-none,s-neu","info-none,repeat-cross,s-neu","info-none,repeat-followup,s-neu","info-none,repeat-followup,s-neu","info-none,repeat-followup,s-neu","info-med,s-neg","info-high,ti-repetetive-ai,repeat-cross,s-neg","info-med,s-neg","info-none,repeat-followup,s-neg"
195749245,"info-high,s-neu","info-high,s-neu","info-low,repeat-followup,s-neu","info-low,repeat-followup,s-neu","info-high,s-neu","info-med,s-neu","info-none,repeat-followup,s-neu","info-none,s-neu","info-high,i-unwanted-sign-up,t-act,t-exp,t-imp,s-pos","info-low,s-neu","info-none,repeat-followup,s-neu,content-unrelated","info-none,repeat-followup,s-neu,content-unrelated","info-none,repeat-cross,s-neu","info-none,repeat-followup,s-neu","info-none,repeat-followup,s-neu","info-none,repeat-followup,s-neu","info-low,t-imp,s-pos","info-none,s-neu","info-none,s-neu","info-low,t-imp,s-pos","info-med,t-imp,s-pos","info-none,repeat-followup,s-pos","info-none,s-neu","info-none,question-none","info-none,s-neu","info-none,repeat-cross,s-pos","info-none,repeat-cross,s-pos","info-none,repeat-followup,s-pos","info-none,s-neu","info-none,s-neu","info-none,question-none","info-none,question-none","info-none,s-neu","info-none,question-none","info-none,question-none","info-none,question-none"
195749032,"info-high,s-neu","info-med,s-neu","info-med,s-neu","info-high,s-neu","info-high,s-neu","info-med,s-neu","info-med,s-neu","info-low,repeat-followup,s-neu","info-low,ti-unresponsive/unclickable,t-act,s-neg","info-low,t-act,t-exp,s-neg","info-low,s-neu","info-low,s-neg","info-none,repeat-cross,s-neu","info-none,question-none","info-none,question-none","info-none,question-none","info-none,repeat-cross,s-neg","info-none,repeat-followup,s-neg","info-none,repeat-followup,s-neg","info-none,repeat-followup,s-neg","info-med,t-act,t-imp,s-pos","info-none,repeat-followup,s-neu","info-low,t-imp,s-pos","info-none,repeat-followup,s-neu","info-low,ti-unresponsive/unclickable,s-neg","info-none,repeat-followup,s-neu","info-low,t-prop,s-neu","info-med,t-prop,s-neu","info-high,i-unexpected-fees,s-neg","info-low,t-prop,s-neg","info-low,repeat-followup,s-neg","info-none,question-skip","info-none,s-neu","info-none,question-none","info-none,question-none","info-none,question-none"
195748860,"info-high,s-neu","info-high,s-neu","info-low,s-neu","info-med,s-neu","info-high,s-neu","info-none,repeat-followup,s-neu","info-med,s-neu","info-med,s-neu","info-high,i-unwanted-sign-up,t-act,t-know,t-imp,s-pos","info-low,repeat-followup,t-imp,s-neg","info-med,t-prop,s-neu","info-low,s-neg,content-unrelated","info-high,i-sort-not-found,repeat-followup,t-imp,s-neu","info-low,s-neu","info-low,s-neg","info-low,s-neu","info-low,ti-unresponsive/unclickable,t-obs,s-neg","info-low,repeat-followup,s-neu","info-none,s-neu","info-low,repeat-followup,s-neu","info-med,t-act,t-exp,s-neu","info-med,s-neu","info-low,s-neu","info-none,repeat-followup,s-neu","info-high,i-intrusive-popups-overall,t-imp,s-neg","info-low,repeat-cross,s-neu","info-none,repeat-followup,s-neu","info-none,repeat-followup,s-neu","info-none,s-neu","info-med,t-know,s-neu","info-none,question-skip","info-none,question-none","info-low,s-pos","info-none,question-none","info-none,question-none","info-none,question-none"
195748792,"info-high,s-neu","info-med,s-neu","info-low,repeat-followup,s-neu","info-med,s-neu","info-med,s-neu","info-high,s-neu","info-low,s-neu","info-low,repeat-followup,s-neu","info-low,ti-unresponsive/unclickable,t-act,s-neg","info-low,repeat-followup,s-neg","info-none,s-neu","info-low,s-neu,content-unrelated","info-none,repeat-cross,s-neg","info-none,repeat-followup,s-neg","info-none,repeat-followup,s-neg","info-none,repeat-followup,s-neg","info-none,repeat-cross,s-neg","info-none,repeat-followup,s-neg","info-none,repeat-followup,s-neg","info-none,repeat-followup,s-neg","info-med,t-imp,t-obs,s-pos","info-high,i-intrusive-popups-overall,s-neg","info-med,t-imp,s-neg","info-none,s-neu","info-none,s-neu","info-none,repeat-cross,s-pos","info-med,t-obs,s-pos","info-med,t-imp,s-pos","info-none,repeat-cross,s-neu","info-none,repeat-cross,s-neg","info-none,repeat-followup,s-neg","info-med,t-prop,s-neg","info-none,s-pos","info-med,t-imp,s-pos","info-none,repeat-cross,s-neu","info-none,repeat-cross,s-neu"
195748246,"info-high,s-neu","info-high,s-neu","info-med,s-neu","info-med,s-neu","info-high,s-neu","info-high,s-neu","info-high,s-neu","info-high,s-neu","info-high,ti-unresponsive/unclickable,i-unwanted-sign-up,t-imp,t-act,s-neg","info-high,i-search-problems,t-obs,t-act,s-neg","info-med,t-act,s-neu","info-low,t-exp,s-neu","info-low,repeat-cross,t-imp,s-neg","info-low,repeat-cross,s-neg","info-med,t-prop,repeat-followup,s-neu","info-low,s-neg","info-med,ti-task-description-overlap,s-neg","info-none,repeat-followup,s-neg","info-low,s-neg","info-low,s-neg","info-med,t-imp,s-pos","info-med,t-know,t-imp,s-pos","info-med,s-neu","info-med,t-know,s-neu","info-none,s-neu","info-none,s-neu","info-low,s-pos","info-med,t-know,t-imp,s-pos","info-low,t-imp,s-pos","info-none,s-neu","info-none,repeat-cross,s-neu","info-none,question-skip","info-high,ti-repetetive-ai,s-neg","info-none,question-none","info-none,question-none","info-none,question-none"
195747902,"info-high,s-neu","info-med,s-neu","info-high,s-neu","info-low,s-neu","info-high,s-neu","info-high,s-neu","info-none,s-neu","info-none,s-neu","info-med,t-act,s-neu","info-none,s-neu,content-unrelated","info-med,s-neu","info-low,s-neu","info-med,i-unwanted-sign-up,s-neg","info-med,s-neu","info-med,s-neu","info-low,s-neu","info-none,repeat-cross,s-neu","info-none,question-skip","info-none,question-none","info-none,question-none","info-med,t-imp,s-neu","info-low,s-neu","info-high,i-unwanted-marketing-consent,t-obs,s-neu","info-med,t-imp,s-neg","info-none,s-neu","info-med,t-know,s-neu","info-none,question-skip","info-none,question-none","info-none,repeat-cross,s-neu","info-none,question-skip","info-none,question-none","info-none,question-none","info-none,s-neu","info-none,question-none","info-none,question-none","info-none,question-none"
195747728,"info-high,s-neu","info-high,s-neu","info-none,s-neu","info-low,s-neu","info-med,s-neu","info-high,s-neu","info-low,repeat-followup,s-neu","info-low,repeat-followup,s-neu","info-med,t-act,s-neu","info-med,s-neu","info-none,s-neu","info-med,s-neu","info-med,ti-unresponsive/unclickable,s-neg","info-none,repeat-followup,s-neg","info-med,i-small-unreadable-elements,s-neu","info-none,repeat-followup,s-neu","info-none,s-neu","info-low,t-know,s-neu","info-low,s-neu","info-low,s-neu","info-med,t-act,t-imp,s-neu","info-med,t-act,s-neu","info-none,s-neu","info-med,s-pos","info-none,s-neu","info-low,t-imp,s-pos","info-none,repeat-followup,s-pos","info-none,repeat-followup,s-pos","info-none,s-neu","info-none,repeat-cross,s-pos","info-low,t-imp,s-pos","info-med,t-know,s-neu","info-none,s-neu","info-none,question-none","info-none,question-none","info-none,question-none"
195747619,"info-high,s-neu","info-high,s-neu","info-med,s-neu","info-med,s-neu","info-high,s-neu","info-high,s-neu","info-high,s-neu","info-high,s-neu","info-high,t-act,t-obs,s-neu","info-med,t-exp,t-act,t-obs,s-neu","info-med,ti-unresponsive/unclickable,s-neu","info-med,t-prop,s-neu","info-low,repeat-cross,s-neg","info-low,repeat-followup,t-act,s-neu","info-none,repeat-followup,s-neu","info-low,t-imp,s-neg","info-none,s-pos","info-none,repeat-cross,s-neg","info-none,s-neu","info-none,s-neu","info-med,t-imp,t-act,s-pos","info-med,t-obs,t-imp,s-pos","info-low,s-pos","info-low,repeat-followup,s-pos","info-high,i-small-unreadable-elements,t-obs,s-neu","info-low,t-imp,s-neg","info-none,repeat-followup,s-neu","info-none,s-neu","info-none,s-neu","info-none,s-neu","info-high,i-small-unreadable-elements,t-obs,t-prop,s-neu","info-med,t-prop,s-neu","info-none,s-neu","info-none,question-none","info-none,question-none","info-none,question-none"
